x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0229481665	38.914839568000005	11839516	13363017	False	P012	DISOBEYING OFFICIAL SIGN	1800 BLOCK 8TH ST NW WEST SIDE	MD	4D	802099	1751.0	398010	138552	Parking_Violations_in_December_2015.csv	2015-12-18T22:47:00.000Z
-77.0323603843	38.9220079715	4535568	13072767	False	P007	PARK IN A BUS ZONE	2500 14TH ST NW	DC	4D	234200	11184.0	397194	139348	Parking_Violations_in_November_2011.csv	2011-11-20T16:13:00.000Z
-76.98508406349998	38.9035173798	10390175	3954625	False	P173	NO PARKING STREET CLEANING	1300 BLOCK ORREN ST NE NORTH SIDE	VA	UT	807954	6813.0	401294	137295	Parking_Violations_in_August_2012.csv	2012-08-29T09:44:00.000Z
-77.0465430392	38.9198592013	12946819	5473445	False	P050	PARKED WITHIN 25 FEET OF A STOP SIGN	2300 BLOCK 20TH ST NW WEST SIDE	DC	UT	804848	4183.0	395964	139110	Parking_Violations_in_February_2012.csv	2012-01-31T20:41:00.000Z
-76.9920842967	38.8830240195	8813826	5901476	False	P007	PARK IN A BUS ZONE	1100 BLOCK PENNSYLVANIA AV SE SOUTH	MD	UT	809181	7859.0	400687	135020	Parking_Violations_in_November_2011.csv	2011-11-14T12:15:00.000Z
-77.0077965593	38.9111211175	3798509	13197195	False	P173	NO PARKING STREET CLEANING	136 Q ST NE	DC		813764	11854.0	399324	138139	Parking_Violations_in_June_2010.csv	2010-06-08T13:22:00.000Z
-77.02984103759998	38.9366021079	9107165	2619056	False	P270	NO STOPPING OR STANDING ANYTIME	3700BLOCK KANSAS AVE NW WEST SIDE	DC		812165	10441.0	397413	140968	Parking_Violations_in_October_2013.csv	2013-10-21T07:33:00.000Z
-77.0597544467	38.9018184865	4242270	1778766	False	P031	UNAUTHORIZED VEHICLE IN LOADING ZONE	SIDE OF 3000 K ST NW WEST SIDE	NC	VA	273872	1728.0	394817	137108	Parking_Violations_in_March_2014.csv	2014-03-25T11:43:00.000Z
-77.0221479364	38.899966939	4432747	9346867	False	P001	PARK ABREAST OF ANOTHER VEHICLE	800 7TH ST NW BLOCK EAST SIDE	MD		279940	12836.0	398079	136901	Parking_Violations_in_April_2013.csv	2013-04-25T10:34:00.000Z
-77.0199102129	38.8954721681	10016801	10823036	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	500 6TH ST NW	VA	TK	815346	13243.0	398273	136402	Parking_Violations_in_April_2011.csv	2011-04-13T19:12:00.000Z
