x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0448784238	38.9133558352	13368290	5138016	False	P173	NO PARKING STREET CLEANING	1700 BLOCK 20TH ST NW EAST SIDE	DC	4D	801861	1717.0	396108	138388	Parking_Violations_in_March_2012.csv	2012-03-13T09:54:00.000Z
-77.0231231216	38.9565569756	2449228	1904675	False	P199	PARK IN A DESIGNATED ENTRANCE	FRONT OF 719 KENNEDY ST NW NORTH SI	MD	UT	250279	11945.0	397996	143183	Parking_Violations_in_April_2014.csv	2014-04-11T16:13:00.000Z
-77.0327372995	38.9392137389	6794037	4289377	False	P269	NO STANDING ANYTIME	4000 BLOCK 14TH ST NW WEST SIDE	VA	4D	806212	5332.0	397162	141258	Parking_Violations_in_June_2012.csv	2012-06-25T19:04:00.000Z
-77.0375278911	38.9025303929	5166629	12557491	False	P112	FAIL TO REPORT FOR INSPECTION.	1700 BLOCK K ST NW SOUTH SIDE	VA	VA	814017	12077.0	396745	137186	Parking_Violations_in_February_2009.csv	2009-02-20T12:32:00.000Z
-77.0434654949	38.9031409029	4894647	4325126	False	P159	NO STOPPING OR STANDING IN AM RUSH HOUR ZONE	1100 BLOCK 19TH ST NW WEST SIDE	DC	TK	814327	12343.0	396230	137254	Parking_Violations_in_June_2012.csv	2012-06-22T08:34:00.000Z
-77.0416900748	38.9031415499	4201615	10477306	False	P002	STAND OR PARK IN ALLEY	1100 REAR 18TH ST, NW WEST SIDE	MD	VN	800064	56.0	396384	137254	Parking_Violations_in_August_2009.csv	2009-08-13T10:34:00.000Z
-76.9845764922	38.9049316254	2470090	4756405	False	P173	NO PARKING STREET CLEANING	1300 BLOCK LEVIS ST NE NORTH SIDE	DC	4D	801587	1346.0	401338	137452	Parking_Violations_in_April_2012.csv	2012-04-25T10:56:00.000Z
-77.0239406104	38.8829137329	6713689	7586795	False	P039	PARK AT EXPIRED METER	0800 BLOCK FRONTAGE RD SW NORTH SID	VA	4D	803362	2848.0	397923	135008	Parking_Violations_in_October_2010.csv	2010-10-13T11:06:00.000Z
-77.0316859306	38.9093784704	7594370	12663988	False	P039	PARK AT EXPIRED METER	1409 FRONT 14TH ST NW EAST SIDE	MD	UT	226549	10139.0	397252	137946	Parking_Violations_in_February_2009.csv	2009-02-20T13:33:00.000Z
-77.0149009848	38.920453062	5636601	4671280	False	P172	FAILURE TO SECURE DC TAGS	2200 BLOCK 2ND ST NW EAST SIDE	MD	VA	800824	610.0	398708	139175	Parking_Violations_in_May_2012.csv	2012-05-01T00:32:00.000Z
-77.0114141681	38.8935725415	2924990	9080942	False	P039	PARK AT EXPIRED METER	0100 C ST NW BLOCK SOUTH SIDE	HI		811231	9626.0	399010	136191	Parking_Violations_in_October_2013.csv	2013-10-21T12:36:00.000Z
-77.0516147964	38.9170104384	10240078	12346773	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	2400 BLOCK WYOMING AV NW NORTH SIDE	MD	PU	802947	2424.0	395524	138794	Parking_Violations_in_April_2009.csv	2009-04-14T12:27:00.000Z
-77.0219174889	38.9003453336	2435701	78927	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	900 BLOCK 7TH ST NW WEST SIDE	VA	UT	814889	12836.0	398099	136943	Parking_Violations_in_June_2015.csv	2015-06-05T19:51:00.000Z
-77.0281285409	38.8935607038	6373051	4480951	False	P280	EXPIRATION TIME ON METER RECEIPT LAPSED	0200 BLOCK 12TH ST NW EAST SIDE	MD	4D	814423	12430.0	397560	136190	Parking_Violations_in_May_2012.csv	2012-05-30T13:14:00.000Z
-77.0270404033	38.9118749491	6031763	1056605	False	P173	NO PARKING STREET CLEANING	1600 BLOCK 11TH ST NW EAST SIDE	DC	4D	805635	4832.0	397655	138223	Parking_Violations_in_September_2014.csv	2014-09-11T09:57:00.000Z
-77.0358459214	38.9278713705	2558252	2463110	False	P322	PARK OVERTIME IN TIMED ZONE	3000BLOCK 15TH ST NW WEST SIDE	NJ		802844	2330.0	396892	139999	Parking_Violations_in_August_2013.csv	2013-08-29T17:13:00.000Z
-77.0270674855	38.8920925899	13183141	8673249	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	1100 BLOCK CONSTITUTION AV NW NORTH	PA	UT	809136	7822.0	397652	136027	Parking_Violations_in_January_2010.csv	2010-01-06T16:11:00.000Z
-77.0270674855	38.8920925899	3249151	10191983	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	1200 BLOCK CONSTITUTION AV, NW SOU	PA	4D	809136	7822.0	397652	136027	Parking_Violations_in_October_2009.csv	2009-10-21T16:17:00.000Z
-77.0375180067	38.905656295	7106488	3681783	False	P039	PARK AT EXPIRED METER	1700 BLOCK M ST NW SOUTH SIDE	VA	VA	809768	8343.0	396746	137533	Parking_Violations_in_November_2012.csv	2012-11-27T11:57:00.000Z
-77.0265111734	38.9149829472	11946848	13509888	False	P012	DISOBEYING OFFICIAL SIGN	1800 BLOCK VERMONT AVE NW WEST SIDE	MD	4D	802075	1674.0	397701	138568	Parking_Violations_in_July_2015.csv	2015-07-31T23:15:00.000Z
-77.0270363667	38.9012270802	6098131	9986264	False	P039	PARK AT EXPIRED METER	0800 11TH ST NW BLOCK EAST SIDE	SC		803182	2638.0	397655	137041	Parking_Violations_in_December_2010.csv	2010-12-11T20:04:00.000Z
-77.0394522012	38.9007821373	9736026	1537438	False	P007	PARK IN A BUS ZONE	900 BLOCK 17TH ST NW WEST SIDE	MD	UT	801824	1682.0	396578	136992	Parking_Violations_in_May_2014.csv	2014-05-18T00:30:00.000Z
-77.0044755781	38.9056532255	5982584	8581190	False	P269	NO STANDING ANYTIME	0100 BLOCK M ST NE SOUTH SIDE	VA	4D	802637	2016.0	399612	137532	Parking_Violations_in_January_2010.csv	2010-01-23T22:41:00.000Z
-77.0629717453	38.902780691	3247142	9903000	False	P039	PARK AT EXPIRED METER	1000 WISCONSIN AVE NW BLOCK EAST S*	MD		276423	2497.0	394538	137215	Parking_Violations_in_August_2011.csv	2011-08-16T12:17:00.000Z
-77.0163422098	38.9195250115	8539640	11653891	False	P039	PARK AT EXPIRED METER	0400 BLOCK W ST NW NORTH SIDE	FL	4D	809130	7816.0	398583	139072	Parking_Violations_in_December_2009.csv	2009-12-08T18:30:00.000Z
-77.019427242	38.8998142811	13273723	6691930	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	600 BLOCK H ST NW SOUTH SIDE	VA	4D	800244	204.0	398315	136884	Parking_Violations_in_April_2011.csv	2011-04-29T16:07:00.000Z
-77.0405810849	38.8992142958	10739053	8087995	False	P173	NO PARKING STREET CLEANING	1800 BLOCK PENNSYLVANIA AV NW NORTH	MD	UT	814006	12067.0	396480	136818	Parking_Violations_in_June_2010.csv	2010-06-08T23:51:00.000Z
-77.0250585246	38.915577818	7833912	1983214	False	P076		BLOCK 1000 T ST NW NORTH SIDE	MD	4D	808511	7284.0	397827	138634	Parking_Violations_in_January_2014.csv	2014-01-17T00:10:00.000Z
-77.0466662598	38.8966986896	780044	4720348	False	P037	PARK OVERTIME AT A METER	0600 BLOCK 21ST ST NW EAST SIDE	VA	4D	800985	829.0	395952	136539	Parking_Violations_in_April_2012.csv	2012-04-23T17:23:00.000Z
